transaction_id,customer_id,timestamp_str,category,amount,quantity,payment_method,city
TXN-1000077,5907,2025-04-19 19:20:01,Sports,843.06,8,,London
TXN-1000078,9661,2025-06-15 22:39:35,Beauty,697.68,3,PayPal,New York
TXN-1000079,6576,2025-08-21 20:34:07,Clothing,1252.11,4,Credit Card,Berlin
TXN-1000080,1475,2025-08-24 02:14:26,Beauty,25.51,2,Debit Card,Berlin
TXN-1000081,3054,2025-01-30 20:32:21,Sports,956.29,6,UPI,London
TXN-1000082,7491,2025-03-05 12:35:32,Books,,2,Debit Card,New York
TXN-1000083,3764,2025-01-27 10:29:16,Home & Kitchen,1267.17,3,Credit Card,San Francisco
TXN-1000084,8509,2025-04-27 03:19:56,Electronics,,3,Credit Card,Sydney
TXN-1000085,3800,2025-09-14 04:51:48,Electronics,1009.49,9,Debit Card,San Francisco
TXN-1000086,5680,2025-12-11 03:02:03,Books,880.38,4,Debit Card,San Francisco
TXN-1000087,4932,2025-10-19 04:03:12,Electronics,353.58,2,PayPal,Mumbai
TXN-1000088,3766,2025-02-17 02:19:03,Beauty,44.99,4,,London
TXN-1000089,1538,2025-04-06 06:14:46,Sports,,8,Credit Card,Mumbai
TXN-1000090,4035,2025-04-23 14:53:10,Clothing,42.76,7,PayPal,Sydney
TXN-1000091,1338,2025-03-06 18:30:07,Home & Kitchen,399.41,4,Credit Card,New York
TXN-1000092,7468,2025-06-27 20:37:30,Electronics,39.69,1,Debit Card,Berlin
TXN-1000093,6933,2025-12-31 13:33:25,Sports,719.08,6,UPI,Mumbai
TXN-1000094,7655,2025-06-02 16:05:54,Home & Kitchen,773.21,2,,San Francisco
TXN-1000095,2943,2025-02-11 23:30:18,Electronics,769.2,8,PayPal,Tokyo
TXN-1000096,3980,2025-07-18 15:44:00,Books,257.3,1,PayPal,Mumbai
TXN-1000097,3301,2025-08-17 14:59:25,Home & Kitchen,1193.54,8,Credit Card,Berlin
TXN-1000098,4445,2025-09-12 05:49:13,Home & Kitchen,809.8,2,Debit Card,Sydney
TXN-1000099,5034,2025-04-17 05:58:31,Sports,810.76,6,,London
TXN-1000100,4280,2025-07-13 07:27:46,Sports,281.95,2,PayPal,London
TXN-1000101,9646,2025-08-03 17:40:06,Sports,1416.6,4,PayPal,Berlin
TXN-1000102,3047,2025-06-07 02:40:56,Sports,1099.98,,Debit Card,New York
TXN-1000103,6340,2025-05-09 03:36:00,Sports,1221.14,,Debit Card,Mumbai
TXN-1000104,1821,2025-06-20 07:53:20,Beauty,49.91,2,UPI,Mumbai
TXN-1000105,6980,2025-06-08 21:18:09,Electronics,327.98,2,,Sydney
TXN-1000106,1108,2025-11-14 01:21:10,Sports,1461.06,3,Debit Card,New York
TXN-1000107,1804,2025-10-08 00:12:11,Books,1448.74,6,Debit Card,San Francisco
TXN-1000108,7051,2025-12-30 11:17:29,Books,684.93,3,Credit Card,New York
TXN-1000109,5276,2025-09-18 10:34:45,Books,1469.58,6,PayPal,New York
TXN-1000110,1170,2025-10-18 03:37:42,Sports,259.14,3,Credit Card,Tokyo
TXN-1000111,3498,2025-02-21 14:33:15,Books,1046.83,,Debit Card,Berlin
TXN-1000112,3645,2025-10-03 17:09:30,Clothing,115.52,7,,London
TXN-1000113,9014,2025-06-25 07:55:51,Beauty,383.26,7,Debit Card,Mumbai
TXN-1000114,7476,2025-07-08 09:49:03,Books,,9,Debit Card,London
TXN-1000115,5557,2025-05-22 09:32:54,Electronics,1118.65,7,UPI,New York
TXN-1000116,4898,2025-06-09 16:04:21,Home & Kitchen,848.3,1,PayPal,New York
TXN-1000117,9806,2025-08-27 00:45:25,Books,453.33,8,UPI,Berlin
TXN-1000118,10015,2025-07-28 15:22:20,Sports,535.03,2,Credit Card,New York
TXN-1000119,8834,2025-03-09 13:35:11,Electronics,833.73,9,Debit Card,San Francisco
TXN-1000120,5863,2025-10-09 14:18:20,Home & Kitchen,714.45,1,PayPal,Mumbai
TXN-1000121,5819,2025-02-09 05:01:20,Sports,1100.66,1,UPI,Tokyo
TXN-1000122,4418,2025-09-11 15:16:39,Beauty,136.63,8,PayPal,San Francisco
TXN-1000123,1310,2025-10-07 22:14:30,Beauty,1110.56,8,Debit Card,Sydney
TXN-1000124,8113,2025-01-10 12:20:36,Home & Kitchen,1487.23,1,UPI,San Francisco
TXN-1000125,3415,2025-04-21 13:05:59,Clothing,648.73,4,Debit Card,San Francisco
TXN-1000126,8568,2025-05-30 20:21:01,Beauty,1377.0,1,Debit Card,London
TXN-1000127,6871,2025-12-26 11:00:22,Beauty,242.97,4,,Tokyo
TXN-1000128,5029,2025-12-02 00:55:03,Beauty,739.92,8,Debit Card,Sydney
TXN-1000129,1364,2025-12-21 12:56:40,Books,1114.16,9,Credit Card,Mumbai
TXN-1000130,9647,2025-08-06 11:54:23,Sports,736.81,4,,Tokyo
TXN-1000131,2163,2025-11-09 08:16:35,Electronics,240.13,8,PayPal,New York
TXN-1000132,9057,2025-12-12 08:04:11,Clothing,687.69,4,Credit Card,San Francisco
TXN-1000133,6517,2025-06-05 03:28:09,Electronics,293.35,2,Debit Card,San Francisco
TXN-1000134,5045,2025-10-30 07:57:45,Clothing,830.95,1,,New York
TXN-1000135,5151,2025-08-09 02:44:35,Clothing,816.19,5,PayPal,New York
TXN-1000136,2830,2025-07-11 04:12:33,Clothing,529.62,4,UPI,New York
TXN-1000137,5183,2025-05-13 00:13:17,Electronics,375.13,8,UPI,Sydney
TXN-1000138,6531,2025-02-01 15:32:51,Beauty,410.21,4,Debit Card,Mumbai
TXN-1000139,1714,2025-08-30 19:27:30,Electronics,1495.89,9,PayPal,Berlin
TXN-1000140,4065,2025-09-29 22:03:44,Books,1450.69,5,Credit Card,Mumbai
TXN-1000141,7693,2025-12-05 08:35:50,Home & Kitchen,760.95,9,PayPal,Tokyo
TXN-1000142,1516,2025-02-24 12:53:43,Clothing,1068.06,3,Debit Card,San Francisco
TXN-1000143,6988,2025-06-09 18:11:12,Clothing,356.38,9,Debit Card,Tokyo
TXN-1000144,8422,2025-09-06 23:15:50,Beauty,1456.82,5,Debit Card,San Francisco
TXN-1000145,3764,2025-06-16 01:43:53,Beauty,1144.28,5,PayPal,San Francisco
TXN-1000146,7023,2025-06-15 18:22:44,Beauty,388.95,7,PayPal,New York
TXN-1000147,6991,2025-08-12 11:01:27,Sports,307.56,4,Debit Card,Mumbai
TXN-1000148,2707,2025-10-28 07:51:05,Beauty,1369.9,2,UPI,San Francisco
TXN-1000149,5671,2025-02-26 14:58:22,Home & Kitchen,52.55,5,Debit Card,Sydney
TXN-1000150,7473,2025-04-30 07:00:29,Electronics,1442.09,7,Credit Card,Sydney
TXN-1000151,8064,2025-06-04 07:02:33,Sports,1026.47,8,UPI,New York
TXN-1000152,2505,2025-09-21 05:43:47,Beauty,1332.21,3,PayPal,Sydney
TXN-1000153,9280,2025-04-16 11:22:59,Clothing,624.19,8,UPI,Berlin
TXN-1000154,2626,2025-04-28 21:42:23,Home & Kitchen,,8,Debit Card,San Francisco
TXN-1000155,4754,2025-06-12 21:23:11,Home & Kitchen,1110.45,4,UPI,London
TXN-1000156,4836,2025-06-15 16:05:55,Clothing,509.33,7,Credit Card,Berlin
TXN-1000157,5325,2025-01-31 06:03:49,Clothing,1113.94,8,UPI,Berlin
TXN-1000158,3977,2025-02-12 18:48:45,Clothing,92.92,,,Mumbai
TXN-1000159,2209,2025-10-13 21:41:52,Sports,931.77,2,Debit Card,Sydney
TXN-1000160,7516,2025-07-19 20:56:19,Sports,777.14,9,Debit Card,San Francisco
TXN-1000161,10113,2025-03-13 07:32:58,Books,1063.31,5,Debit Card,Sydney
TXN-1000162,2353,2025-05-22 13:21:17,Books,819.86,3,Debit Card,Mumbai
TXN-1000163,3883,2025-12-11 23:47:20,Home & Kitchen,187.02,7,Debit Card,Tokyo
TXN-1000164,6248,2025-01-02 03:22:21,Electronics,838.0,4,Credit Card,San Francisco
TXN-1000165,9238,2025-10-13 18:02:08,Beauty,,2,Debit Card,London
TXN-1000166,4854,2025-12-02 08:18:10,Home & Kitchen,122.91,4,Credit Card,San Francisco
TXN-1000167,5775,2025-06-18 05:06:32,Beauty,52.49,4,UPI,London
TXN-1000168,2185,2025-04-17 19:00:15,Home & Kitchen,61.37,1,UPI,Sydney
TXN-1000169,9946,2025-05-30 10:52:03,Clothing,814.28,1,PayPal,Berlin
TXN-1000170,7090,2025-01-24 19:37:48,Home & Kitchen,1236.31,7,Debit Card,San Francisco
TXN-1000171,5633,2025-09-01 18:38:51,Electronics,,1,UPI,London
TXN-1000172,8857,2025-02-21 14:42:51,Electronics,1355.36,8,UPI,Sydney
TXN-1000173,2996,2025-12-22 23:10:11,Beauty,187.72,,PayPal,Sydney
TXN-1000174,3870,2025-12-10 02:21:57,Beauty,26.45,7,UPI,San Francisco
TXN-1000175,3133,2025-06-21 22:53:32,Electronics,302.0,3,UPI,Mumbai
TXN-1000176,1512,2025-05-03 18:36:21,Electronics,790.13,,UPI,San Francisco
TXN-1000177,3211,2025-01-21 18:18:36,Electronics,1331.55,6,Credit Card,Berlin
TXN-1000178,4325,2025-05-24 04:16:14,Beauty,218.5,9,UPI,Mumbai
TXN-1000179,1829,2025-03-25 22:32:31,Beauty,659.4,4,,Tokyo
TXN-1000180,6929,2025-09-13 22:51:34,Sports,917.73,9,PayPal,New York
TXN-1000181,4413,2025-07-26 18:13:13,Electronics,141.58,2,,New York
TXN-1000182,6289,2025-08-26 08:06:57,Home & Kitchen,1307.09,5,Debit Card,New York
TXN-1000183,5420,2025-04-04 05:28:23,Beauty,1306.83,8,PayPal,London
TXN-1000184,10243,2025-12-30 23:17:44,Books,,8,UPI,Mumbai
TXN-1000185,7057,2025-10-03 02:46:11,Clothing,315.29,7,Credit Card,San Francisco
TXN-1000186,1115,2025-07-25 13:18:26,Home & Kitchen,1272.28,2,PayPal,Tokyo
TXN-1000187,5132,2025-11-14 22:43:16,Electronics,283.25,2,UPI,Tokyo
TXN-1000188,7142,2025-01-26 14:10:20,Electronics,1204.3,1,UPI,Berlin
TXN-1000189,3450,2025-01-07 15:18:08,Electronics,,,UPI,London
TXN-1000190,9677,2025-02-28 10:19:58,Books,1329.97,9,Credit Card,New York
TXN-1000191,6371,2025-10-31 21:20:54,Home & Kitchen,1041.55,8,Debit Card,Mumbai
TXN-1000192,2881,2025-12-31 21:54:56,Sports,,4,,Mumbai
TXN-1000193,8373,2025-01-14 12:30:06,Sports,1493.58,7,Credit Card,New York
TXN-1000194,5454,2025-10-14 08:58:19,Beauty,738.0,6,Debit Card,Sydney
TXN-1000195,1534,2025-05-02 19:31:53,Beauty,1432.87,6,UPI,Tokyo
TXN-1000196,4597,2025-03-28 19:56:52,Electronics,878.97,5,PayPal,Berlin
TXN-1000197,2820,2025-11-23 06:43:42,Electronics,198.57,9,UPI,Tokyo
TXN-1000198,3995,2025-03-05 15:25:16,Clothing,220.91,2,Debit Card,Sydney
TXN-1000199,6786,2025-04-29 02:59:36,Electronics,448.44,8,Debit Card,New York
TXN-1000200,5549,2025-07-13 04:58:56,Books,367.64,4,UPI,San Francisco
TXN-1000201,4819,2025-01-16 23:41:15,Home & Kitchen,957.04,3,Debit Card,Mumbai
TXN-1000202,1123,2025-11-14 21:50:52,Clothing,1386.23,,Credit Card,New York
TXN-1000203,8562,2025-10-12 22:06:32,Electronics,1386.02,3,Credit Card,New York
TXN-1000204,3597,2025-04-28 22:48:16,Home & Kitchen,620.33,,PayPal,Mumbai
TXN-1000205,9626,2025-07-01 05:56:58,Home & Kitchen,983.15,6,Debit Card,London
TXN-1000206,4087,2025-01-19 11:46:29,Beauty,1209.46,3,Debit Card,Berlin
TXN-1000207,8011,2025-09-12 01:06:29,Sports,,4,PayPal,London
TXN-1000208,3946,2025-07-10 20:00:33,Electronics,814.31,7,PayPal,Sydney
TXN-1000209,4164,2025-07-13 02:07:24,Books,308.23,9,UPI,Tokyo
TXN-1000210,7223,2025-07-03 12:42:42,Books,998.49,7,Credit Card,Mumbai
TXN-1000211,3075,2025-08-18 04:38:37,Books,873.03,7,Credit Card,Tokyo
TXN-1000212,9061,2025-03-21 08:50:50,Beauty,1043.38,3,Credit Card,New York
TXN-1000213,6541,2025-11-01 21:49:56,Home & Kitchen,417.32,,Debit Card,Tokyo
TXN-1000214,5760,2025-12-27 11:41:53,Books,1465.9,4,PayPal,Sydney
TXN-1000215,7140,2025-12-20 12:25:43,Electronics,643.05,1,UPI,Sydney
TXN-1000216,5507,2025-01-04 17:38:04,Beauty,,7,,London
TXN-1000217,7707,2025-10-27 16:09:53,Sports,816.42,1,Debit Card,London
TXN-1000218,4902,2025-05-30 22:50:15,Beauty,1409.06,2,PayPal,London
TXN-1000219,7459,2025-06-23 18:19:45,Beauty,509.15,8,PayPal,London
TXN-1000220,9996,2025-08-08 03:15:33,Books,1143.09,2,Debit Card,New York
TXN-1000221,2353,2025-01-25 08:42:56,Clothing,87.48,4,PayPal,New York
TXN-1000222,7131,2025-03-04 14:55:39,Home & Kitchen,238.96,,UPI,Berlin
TXN-1000223,5998,2025-10-12 23:13:49,Books,347.44,6,UPI,Berlin
TXN-1000224,2435,2025-02-27 09:58:52,Home & Kitchen,76.73,5,,Berlin
TXN-1000225,10479,2025-06-16 18:15:36,Electronics,710.71,2,,San Francisco
TXN-1000226,6570,2025-04-09 08:55:26,Home & Kitchen,,3,UPI,London
TXN-1000227,4137,2025-06-04 23:57:00,Clothing,326.24,2,Credit Card,Berlin
TXN-1000228,5111,2025-12-03 16:12:53,Home & Kitchen,1491.78,5,PayPal,San Francisco
TXN-1000229,5165,2025-06-19 11:07:28,Electronics,1436.82,2,Debit Card,New York
TXN-1000230,1233,2025-09-26 08:10:20,Clothing,245.0,1,Credit Card,San Francisco
TXN-1000231,3413,2025-10-18 00:09:56,Electronics,1139.42,,UPI,Sydney
TXN-1000232,7172,2025-03-17 16:14:21,Electronics,560.01,5,UPI,Tokyo
TXN-1000233,7150,2025-04-12 21:06:56,Beauty,1423.33,1,,London
TXN-1000234,7813,2025-07-19 15:29:45,Sports,910.22,4,Debit Card,Tokyo
TXN-1000235,8225,2025-06-20 00:22:43,Clothing,,,UPI,Sydney
TXN-1000236,6990,2025-09-19 22:42:05,Beauty,383.46,4,UPI,San Francisco
TXN-1000237,1133,2025-03-08 03:57:38,Beauty,1106.3,6,UPI,Berlin
TXN-1000238,3818,2025-10-23 13:28:25,Clothing,106.22,8,UPI,Berlin
TXN-1000239,2885,2025-07-07 04:39:07,Books,1192.64,2,UPI,London
TXN-1000240,2328,2025-08-10 05:15:48,Clothing,1043.27,8,PayPal,Mumbai
TXN-1000241,9829,2025-09-22 11:36:33,Sports,416.2,7,Credit Card,Tokyo
TXN-1000242,7205,2025-02-27 22:16:44,Beauty,128.02,2,Debit Card,New York
TXN-1000243,7312,2025-09-04 22:48:56,Sports,974.85,6,,Sydney
TXN-1000244,5418,2025-12-13 21:28:03,Beauty,1210.1,5,Credit Card,Mumbai
TXN-1000245,6177,2025-06-30 23:41:31,Electronics,1462.18,2,Credit Card,London
TXN-1000246,1491,2025-11-18 10:13:25,Beauty,565.87,1,Credit Card,Berlin
TXN-1000247,3826,2025-03-31 23:28:42,Sports,578.47,8,Credit Card,Berlin
TXN-1000248,2803,2025-04-10 20:24:28,Clothing,32.3,2,UPI,Tokyo
TXN-1000249,2513,2025-05-04 03:31:21,Sports,928.11,7,Credit Card,Mumbai
TXN-1000250,5780,2025-07-13 14:33:31,Books,,,Credit Card,Tokyo
TXN-1000251,2885,2025-01-05 12:26:26,Sports,147.45,,Debit Card,New York
TXN-1000252,6866,2025-02-27 14:32:26,Beauty,,3,Debit Card,San Francisco
TXN-1000253,2444,2025-04-14 14:33:12,Books,,7,Debit Card,Berlin
TXN-1000254,2744,2025-02-03 20:56:07,Home & Kitchen,698.01,4,Credit Card,Tokyo
TXN-1000255,9037,2025-02-23 18:14:39,Books,45.84,2,PayPal,New York
TXN-1000256,1023,2025-09-29 02:30:36,Electronics,754.39,7,PayPal,New York
TXN-1000257,1633,2025-10-29 06:48:29,Beauty,583.48,2,,Tokyo
TXN-1000258,6800,2025-09-15 19:47:51,Home & Kitchen,,,Debit Card,London
TXN-1000259,9598,2025-11-05 18:30:41,Beauty,,1,,Berlin
TXN-1000260,4943,2025-04-22 07:10:03,Sports,675.98,7,UPI,Sydney
TXN-1000261,2078,2025-06-22 15:13:10,Books,653.56,5,UPI,Mumbai
TXN-1000262,10048,2025-01-02 06:34:45,Home & Kitchen,1383.19,1,Credit Card,Mumbai
TXN-1000263,3724,2025-02-16 05:10:09,Books,347.23,3,Credit Card,San Francisco
TXN-1000264,8994,2025-03-24 08:13:43,Home & Kitchen,1031.48,6,Credit Card,Berlin
TXN-1000265,5254,2025-10-05 12:38:31,Home & Kitchen,,5,PayPal,Tokyo
TXN-1000266,2891,2025-10-02 11:45:48,Sports,1388.38,3,Credit Card,San Francisco
TXN-1000267,10500,2025-01-06 13:36:26,Home & Kitchen,145.57,4,,London
TXN-1000268,3274,2025-08-19 17:04:48,Clothing,1092.32,2,,Mumbai
TXN-1000269,10018,2025-11-09 12:14:06,Books,586.73,1,Debit Card,Tokyo
TXN-1000270,2870,2025-10-28 17:49:15,Clothing,703.59,9,Credit Card,Berlin
TXN-1000271,3054,2025-01-09 06:44:28,Books,697.93,6,Debit Card,Berlin
TXN-1000272,6005,2025-08-22 11:47:18,Clothing,1320.79,7,UPI,London
TXN-1000273,1889,2025-08-02 20:03:19,Clothing,692.02,6,Credit Card,London
TXN-1000274,1838,2025-02-04 07:28:27,Beauty,101.92,2,UPI,San Francisco
TXN-1000275,1431,2025-07-30 03:16:25,Clothing,39.66,6,UPI,Sydney
TXN-1000276,7165,2025-12-02 14:32:10,Home & Kitchen,,1,UPI,London
TXN-1000277,4726,2025-07-20 15:10:43,Beauty,1229.79,5,Debit Card,Mumbai
TXN-1000278,5765,2025-02-22 07:44:39,Electronics,10.0,8,PayPal,New York
TXN-1000279,3362,2025-02-19 06:35:25,Clothing,1239.31,5,Debit Card,Mumbai
TXN-1000280,6583,2025-08-25 06:14:06,Clothing,338.09,4,PayPal,London
TXN-1000281,3093,2025-08-18 22:14:58,Sports,950.4,7,Credit Card,Mumbai
TXN-1000282,8234,2025-11-07 20:06:48,Books,833.89,6,PayPal,Berlin
TXN-1000283,4174,2025-07-17 06:36:56,Electronics,413.45,7,PayPal,Mumbai
TXN-1000284,5979,2025-06-24 17:39:15,Home & Kitchen,1251.37,2,UPI,San Francisco
TXN-1000285,7436,2025-12-23 07:42:35,Books,1026.01,5,PayPal,San Francisco
TXN-1000286,3652,2025-01-10 15:31:22,Beauty,206.9,7,PayPal,London
TXN-1000287,5711,2025-02-02 02:47:40,Books,1227.94,9,UPI,Mumbai
TXN-1000288,1991,2025-11-13 12:01:00,Home & Kitchen,,2,Credit Card,San Francisco
TXN-1000289,10500,2025-04-06 22:03:32,Electronics,765.28,1,PayPal,Mumbai
TXN-1000290,3315,2025-12-18 22:59:25,Sports,1261.27,4,Debit Card,Tokyo
TXN-1000291,2518,2025-03-30 06:13:06,Clothing,278.56,8,,Berlin
TXN-1000292,10249,2025-06-02 11:50:28,Home & Kitchen,706.45,8,Debit Card,Tokyo
TXN-1000293,10286,2025-07-10 01:02:55,Electronics,1227.49,1,Debit Card,Mumbai
TXN-1000294,5649,2025-06-04 03:37:43,Sports,137.47,,PayPal,Berlin
TXN-1000295,7682,2025-03-26 11:35:34,Clothing,176.2,6,UPI,Sydney
TXN-1000296,7627,2025-01-07 13:04:06,Home & Kitchen,17.45,5,PayPal,Mumbai
TXN-1000297,9926,2025-07-07 02:20:20,Beauty,969.5,4,PayPal,New York
TXN-1000298,6422,2025-10-10 10:14:14,Clothing,556.53,6,Debit Card,New York
TXN-1000299,8729,2025-07-04 05:58:06,Books,1419.76,3,Debit Card,Tokyo
TXN-1000300,7831,2025-06-20 04:31:48,Electronics,946.83,7,UPI,San Francisco
TXN-1000301,2943,2025-02-02 10:10:44,Home & Kitchen,58.29,9,UPI,New York
TXN-1000302,7416,2025-06-28 00:56:21,Beauty,1081.87,4,PayPal,Tokyo
TXN-1000303,4144,2025-09-06 18:30:53,Home & Kitchen,1312.47,8,,Sydney
TXN-1000304,1427,2025-07-01 22:02:05,Beauty,425.42,9,UPI,Berlin
TXN-1000305,6745,2025-07-09 18:21:34,Electronics,674.56,2,PayPal,New York
TXN-1000306,3142,2025-01-16 21:13:39,Clothing,648.34,,PayPal,Tokyo
TXN-1000307,5095,2025-09-09 03:49:20,Sports,548.93,,PayPal,New York
TXN-1000308,1952,2025-12-26 14:00:28,Electronics,1446.26,3,Credit Card,San Francisco
TXN-1000309,1799,2025-10-18 18:47:00,Books,943.22,3,,Berlin
TXN-1000310,5732,2025-08-07 09:22:11,Sports,1345.42,,UPI,Mumbai
TXN-1000311,10448,2025-11-21 15:44:35,Clothing,427.26,6,UPI,Berlin
